2026-01-09 10:03:30,127 - INFO - Gradient Accumulation Steps: 1
2026-01-09 10:03:30,127 - INFO - Micro Batch Size: 16
2026-01-09 10:03:30,128 - INFO - Target Train Batch Size (per GPU): 16
2026-01-09 10:03:30,143 - INFO - epoch:0 start
2026-01-09 10:15:15,971 - INFO - train loss:5.8625, step:910
2026-01-09 10:15:23,297 - INFO - train loss:5.8138, step:920
2026-01-09 10:15:30,629 - INFO - train loss:5.7628, step:930
2026-01-09 10:15:37,959 - INFO - train loss:5.7192, step:940
2026-01-09 10:15:45,296 - INFO - train loss:5.7139, step:950
2026-01-09 10:15:52,654 - INFO - train loss:5.6940, step:960
2026-01-09 10:16:00,010 - INFO - train loss:5.7132, step:970
2026-01-09 10:16:07,367 - INFO - train loss:5.7769, step:980
2026-01-09 10:16:14,716 - INFO - train loss:5.6557, step:990
2026-01-09 10:16:55,649 - INFO - step:1000, val_loss: 5.7052
2026-01-09 10:16:56,391 - INFO - train loss:5.6753, step:1000
2026-01-09 10:17:09,739 - INFO - train loss:5.7258, step:1010
2026-01-09 10:17:17,030 - INFO - train loss:5.7741, step:1020
2026-01-09 10:17:24,308 - INFO - train loss:5.7210, step:1030
2026-01-09 10:17:31,597 - INFO - train loss:5.6447, step:1040
2026-01-09 10:17:38,877 - INFO - train loss:5.6832, step:1050
2026-01-09 10:17:46,174 - INFO - train loss:5.6141, step:1060
2026-01-09 10:17:53,455 - INFO - train loss:5.6013, step:1070
2026-01-09 10:18:00,752 - INFO - train loss:5.7021, step:1080
2026-01-09 10:18:08,053 - INFO - train loss:5.6323, step:1090
2026-01-09 10:18:15,361 - INFO - train loss:5.6470, step:1100
2026-01-09 10:18:22,676 - INFO - train loss:5.5688, step:1110
2026-01-09 10:18:29,990 - INFO - train loss:5.5899, step:1120
2026-01-09 10:18:37,326 - INFO - train loss:5.6008, step:1130
2026-01-09 10:18:44,650 - INFO - train loss:5.5792, step:1140
2026-01-09 10:18:51,985 - INFO - train loss:5.6271, step:1150
2026-01-09 10:18:59,315 - INFO - train loss:5.5968, step:1160
2026-01-09 10:19:06,633 - INFO - train loss:5.5011, step:1170
2026-01-09 10:19:13,964 - INFO - train loss:5.6032, step:1180
2026-01-09 10:19:21,309 - INFO - train loss:5.4633, step:1190
2026-01-09 10:19:28,640 - INFO - train loss:5.4777, step:1200
2026-01-09 10:19:35,984 - INFO - train loss:5.5131, step:1210
2026-01-09 10:19:43,334 - INFO - train loss:5.4194, step:1220
2026-01-09 10:19:50,679 - INFO - train loss:5.5028, step:1230
2026-01-09 10:19:58,035 - INFO - train loss:5.5366, step:1240
2026-01-09 10:20:05,407 - INFO - train loss:5.4757, step:1250
2026-01-09 10:20:12,769 - INFO - train loss:5.5213, step:1260
2026-01-09 10:20:20,117 - INFO - train loss:5.5000, step:1270
2026-01-09 10:20:27,437 - INFO - train loss:5.4623, step:1280
2026-01-09 10:20:34,753 - INFO - train loss:5.4890, step:1290
2026-01-09 10:20:42,093 - INFO - train loss:5.4686, step:1300
2026-01-09 10:20:49,392 - INFO - train loss:5.4579, step:1310
2026-01-09 10:20:56,706 - INFO - train loss:5.4582, step:1320
2026-01-09 10:21:04,011 - INFO - train loss:5.4757, step:1330
2026-01-09 10:21:11,310 - INFO - train loss:5.4545, step:1340
2026-01-09 10:21:18,599 - INFO - train loss:5.3921, step:1350
2026-01-09 10:21:25,892 - INFO - train loss:5.4289, step:1360
2026-01-09 10:21:33,190 - INFO - train loss:5.3742, step:1370
2026-01-09 10:21:40,488 - INFO - train loss:5.2944, step:1380
2026-01-09 10:21:47,775 - INFO - train loss:5.5205, step:1390
2026-01-09 10:21:55,067 - INFO - train loss:5.4120, step:1400
2026-01-09 10:22:02,379 - INFO - train loss:5.2805, step:1410
2026-01-09 10:22:09,691 - INFO - train loss:5.3758, step:1420
2026-01-09 10:22:17,024 - INFO - train loss:5.3693, step:1430
2026-01-09 10:22:24,356 - INFO - train loss:5.2944, step:1440
2026-01-09 10:22:31,678 - INFO - train loss:5.2612, step:1450
2026-01-09 10:22:38,999 - INFO - train loss:5.4065, step:1460
2026-01-09 10:22:46,320 - INFO - train loss:5.3811, step:1470
2026-01-09 10:22:53,629 - INFO - train loss:5.3681, step:1480
2026-01-09 10:23:00,954 - INFO - train loss:5.3194, step:1490
2026-01-09 10:23:42,074 - INFO - step:1500, val_loss: 5.3234
